usage_id,usage_minutes,performance_score,feedback_rating,tools_id,class_id,student_id,class_grade,class_topic,class_semester,class_section,tools_used,tools_category,student_gender,student_nationality,student_absent_days
1,117,66,3.4,1,2,1,G-04,IT,Fall,A,Google Classroom,LMS,M,KW,Above-7
2,109,61,4.0,2,3,2,G-12,English,Fall,A,Kahoot,Engagement,M,KW,Above-7
3,42,65,3.2,3,4,3,G-05,English,Fall,A,Google Classroom,LMS,F,Jordan,Above-7
4,60,61,4.6,4,5,4,G-02,IT,Fall,C,Nearpod,Assessment,M,KW,Below-7
5,30,63,3.1,5,6,5,G-07,Quran,Fall,A,Nearpod,Assessment,M,Tunis,Above-7
6,106,63,3.7,6,7,6,G-07,Science,Spring,B,Nearpod,Assessment,M,Tunis,Above-7
7,68,67,4.2,7,8,7,G-07,Science,Spring,B,Kahoot,Engagement,M,Jordan,Above-7
8,104,63,4.7,8,9,8,G-04,English,Spring,A,Kahoot,Engagement,M,Egypt,Above-7
9,102,69,4.3,9,10,9,G-02,French,Fall,A,Kahoot,Engagement,M,Lybia,Above-7
10,19,60,3.0,10,11,10,G-08,Chemistry,Spring,A,Nearpod,Assessment,M,Jordan,Above-7
11,32,68,4.2,11,12,11,G-07,IT,Fall,A,Nearpod,Assessment,M,Jordan,Above-7
12,62,61,3.1,12,13,12,G-02,IT,Fall,B,Nearpod,Assessment,M,KW,Below-7
13,54,69,3.1,13,14,13,G-02,IT,Fall,C,Nearpod,Assessment,F,KW,Above-7
14,85,69,3.7,14,15,14,G-08,Spanish,Spring,C,Google Classroom,LMS,M,KW,Above-7
15,47,69,4.7,15,16,15,G-02,French,Spring,A,Kahoot,Engagement,M,Jordan,Above-7
16,43,62,3.2,16,17,16,G-02,Arabic,Spring,B,Nearpod,Assessment,M,Jordan,Above-7
17,40,69,4.4,17,18,17,G-07,Biology,Fall,B,Kahoot,Engagement,F,Lybia,Above-7
18,78,68,4.6,18,19,18,G-08,Chemistry,Fall,A,Google Classroom,LMS,M,Jordan,Above-7
19,93,66,3.6,19,20,19,G-04,IT,Fall,A,Kahoot,Engagement,M,KW,Above-7
20,31,66,3.8,20,21,20,G-07,Math,Fall,A,Kahoot,Engagement,M,KW,Above-7
21,102,64,3.4,21,22,21,G-12,English,Fall,A,Kahoot,Engagement,M,KW,Above-7
22,62,63,4.2,22,23,22,G-07,IT,Fall,B,Google Classroom,LMS,M,KW,Below-7
23,46,61,3.4,23,24,23,G-02,IT,Fall,B,Nearpod,Assessment,F,KW,Above-7
24,26,69,3.3,24,25,24,G-02,IT,Fall,B,Kahoot,Engagement,M,KW,Above-7
25,22,63,3.3,25,26,25,G-02,IT,Fall,B,Nearpod,Assessment,M,KW,Above-7
26,51,60,4.4,26,27,26,G-02,IT,Fall,B,Kahoot,Engagement,M,KW,Above-7
27,83,69,3.0,27,28,27,G-02,IT,Fall,C,Nearpod,Assessment,M,KW,Below-7
28,104,62,3.4,28,29,28,G-07,Quran,Spring,A,Nearpod,Assessment,M,KW,Above-7
29,76,63,3.1,29,30,29,G-04,Arabic,Spring,A,Nearpod,Assessment,M,KW,Above-7
30,68,67,4.3,30,31,30,G-02,French,Fall,A,Kahoot,Engagement,M,Jordan,Above-7
31,49,65,3.9,31,32,31,G-02,French,Fall,B,Google Classroom,LMS,M,Egypt,Above-7
32,16,60,3.9,32,33,32,G-08,History,Fall,A,Nearpod,Assessment,F,Jordan,Above-7
33,107,65,4.4,33,34,33,G-06,IT,Fall,A,Nearpod,Assessment,M,KW,Above-7
34,113,67,4.7,34,35,34,G-09,IT,Fall,A,Google Classroom,LMS,M,KW,Above-7
35,58,66,3.5,35,36,35,G-07,Quran,Fall,A,Google Classroom,LMS,M,KW,Above-7
36,112,65,4.1,36,37,36,G-05,English,Fall,A,Nearpod,Assessment,M,KW,Above-7
37,41,65,3.2,37,38,37,G-07,Math,Fall,A,Google Classroom,LMS,M,KW,Above-7
38,113,69,3.1,38,39,38,G-10,IT,Fall,A,Kahoot,Engagement,M,KW,Above-7
39,19,69,3.6,39,40,39,G-02,IT,Fall,B,Kahoot,Engagement,M,KW,Below-7
40,114,63,4.2,40,41,40,G-02,IT,Fall,B,Kahoot,Engagement,F,KW,Below-7
41,27,64,4.3,41,42,41,G-02,IT,Fall,B,Nearpod,Assessment,F,KW,Above-7
42,62,64,4.8,42,43,42,G-02,IT,Fall,C,Google Classroom,LMS,M,KW,Above-7
43,71,65,4.9,43,44,43,G-02,IT,Spring,C,Nearpod,Assessment,M,KW,Above-7
44,110,60,3.2,44,45,44,G-02,French,Spring,B,Google Classroom,LMS,M,Iran,Above-7
45,37,64,3.1,45,46,45,G-08,Arabic,Spring,A,Google Classroom,LMS,M,Lebanon,Above-7
46,80,62,4.1,46,47,46,G-08,Spanish,Spring,A,Google Classroom,LMS,M,KW,Below-7
47,45,65,3.7,47,48,47,G-08,Spanish,Spring,A,Kahoot,Engagement,M,Syria,Above-7
48,46,68,4.3,48,49,48,G-07,Science,Spring,B,Kahoot,Engagement,M,KW,Above-7
49,19,65,4.6,49,50,49,G-02,French,Spring,A,Google Classroom,LMS,M,Jordan,Above-7
50,66,65,3.8,50,51,50,G-02,French,Fall,A,Nearpod,Assessment,M,Jordan,Above-7
51,109,67,4.1,51,52,51,G-08,Chemistry,Fall,A,Nearpod,Assessment,F,Jordan,Above-7
52,50,62,4.3,52,53,52,G-08,Math,Fall,A,Nearpod,Assessment,M,Lebanon,Above-7
53,12,66,4.2,53,54,53,G-07,IT,Fall,A,Nearpod,Assessment,M,KW,Above-7
54,95,62,3.6,54,55,54,G-07,IT,Fall,A,Kahoot,Engagement,M,KW,Above-7
